"","GEOID","NAME","BOROUGH","eviction_19","eviction_23","population_renter","median_rent","white","black","asian","hispanic","median_inc","eviction_rate_19","eviction_rate_23","geometry","race","change_rate","change_number","change"
"11",81010300,"Census Tract 103, Queens County, New York","QUEENS",3,6,3076,1793,0.633522727272727,0.0518465909090909,0,0.237926136363636,70742,0.000975292587776333,0.00195058517555267,"list(list(c(-73.91909, -73.917171, -73.915344, -73.915236, -73.916565, -73.917107, -73.915974, -73.915734, -73.914595, -73.913588, -73.912211, -73.910835, -73.910147, -73.912383, -73.914445, -73.915131, -73.91582, -73.917966, -73.919965, -73.91909, 40.783368, 40.784193, 40.786116, 40.786041, 40.784493, 40.784057, 40.783262, 40.783088, 40.782283, 40.781578, 40.780606, 40.779635, 40.77915, 40.77731, 40.778775, 40.779261, 40.779748, 40.781256, 40.782635, 40.783368)))","white",0.000975292587776333,3,1
"12",81103201,"Census Tract 1032.01, Queens County, New York","QUEENS",21,10,6155,1508,0.0764290301862556,0.493898522800257,0.0115606936416185,0.384714193962749,42857,0.00341186027619821,0.0016246953696182,"list(list(c(-73.759824, -73.759736, -73.75891, -73.757235, -73.754732, -73.753458, -73.750088, -73.74912, -73.747495, -73.746942, -73.749883, -73.752421, -73.752914, -73.754419, -73.755274, -73.757594, -73.757784, -73.760953, -73.759824, 40.609647, 40.610155, 40.611206, 40.610993, 40.610405, 40.61052, 40.611641, 40.611794, 40.611888, 40.611775, 40.610338, 40.607872, 40.606912, 40.604978, 40.605334, 40.605802, 40.605832, 40.606452, 40.609647)))","black",-0.00178716490658002,-11,-0.523809523809524
"13",81103202,"Census Tract 1032.02, Queens County, New York","QUEENS",8,3,5408,1726,0.347610180012415,0.215394165114836,0,0.414028553693358,72279,0.0014792899408284,0.000554733727810651,"list(list(c(-73.754419, -73.752914, -73.752421, -73.749883, -73.746942, -73.745492, -73.744451, -73.743551, -73.740571, -73.742318, -73.74574, -73.746453, -73.747114, -73.747562, -73.749705, -73.75285, -73.753538, -73.754419, 40.604978, 40.606912, 40.607872, 40.610338, 40.611775, 40.611805, 40.610169, 40.607452, 40.60488, 40.602936, 40.603403, 40.603291, 40.603147, 40.603078, 40.60259, 40.60426, 40.604569, 40.604978)))","hispanic",-0.000924556213017751,-5,-0.625
"14",81103300,"Census Tract 1033, Queens County, New York","QUEENS",1,1,1494,1858,0.612167300380228,0.0456273764258555,0,0.0551330798479087,90457,0.000669344042838019,0.000669344042838019,"list(list(c(-73.81453, -73.814395, -73.814299, -73.813813, -73.811719, -73.808538, -73.808795, -73.806005, -73.805111, -73.804801, -73.803226, -73.803327, -73.803423, -73.80379, -73.809452, -73.814859, -73.81453, 40.778888, 40.779871, 40.780581, 40.784129, 40.783247, 40.782997, 40.780862, 40.779925, 40.779039, 40.77912, 40.779703, 40.778996, 40.778338, 40.77561, 40.776058, 40.776486, 40.778888)))","white",0,0,0
"15",61010400,"Census Tract 104, New York County, New York","MANHATTAN",2,2,429,2197,0.84406779661017,0.0203389830508475,0,0.0203389830508475,165000,0.00466200466200466,0.00466200466200466,"list(list(c(-73.980426, -73.979057, -73.978601, -73.977686, -73.974457, -73.974915, -73.975831, -73.977655, -73.980886, -73.980426, 40.759899, 40.761771, 40.762396, 40.763645, 40.762293, 40.761667, 40.760418, 40.757912, 40.75927, 40.759899)))","white",0,0,0
"16",81104700,"Census Tract 1047, Queens County, New York","QUEENS",1,2,2292,1887,0.250758341759353,0,0,0.261880687563195,59973,0.00043630017452007,0.00087260034904014,"list(list(c(-73.826575, -73.826477, -73.826253, -73.825831, -73.824331, -73.824284, -73.823547, -73.823313, -73.81931, -73.81453, -73.814859, -73.814943, -73.815053, -73.815488, -73.813171, -73.813227, -73.817293, -73.821897, -73.824669, -73.826558, -73.826566, -73.826575, 40.772345, 40.773116, 40.774521, 40.775915, 40.776743, 40.77699, 40.779036, 40.779579, 40.77926, 40.778888, 40.776486, 40.775862, 40.775066, 40.772948, 40.772765, 40.771573, 40.771478, 40.77082, 40.770407, 40.770137, 40.770642, 
40.772345)))","hispanic",0.00043630017452007,1,1
"17",81010500,"Census Tract 105, Queens County, New York","QUEENS",1,5,4476,1913,0.489456869009585,0.0869009584664537,0,0.316932907348243,57483,0.000223413762287757,0.00111706881143878,"list(list(c(-73.916565, -73.915236, -73.913807, -73.912428, -73.910043, -73.908671, -73.910835, -73.912211, -73.913588, -73.914595, -73.915734, -73.915974, -73.917107, -73.916565, 40.784493, 40.786041, 40.785026, 40.784053, 40.78237, 40.781401, 40.779635, 40.780606, 40.781578, 40.782283, 40.783088, 40.783262, 40.784057, 40.784493)))","white",0.000893655049151028,4,4
"18",47105801,"Census Tract 1058.01, Kings County, New York","BROOKLYN",9,4,6028,536,0.29648970118944,0.497824194952132,0.0400348128807659,0.138961415723818,19826,0.00149303251493033,0.0006635700066357,"list(list(c(-73.886282, -73.884653, -73.882213, -73.881722, -73.878436, -73.876104, -73.874892, -73.876082, -73.87729, -73.881481, -73.882413, -73.884113, -73.884806, -73.886282, 40.652756, 40.653451, 40.654498, 40.653754, 40.649327, 40.646215, 40.645095, 40.643293, 40.643842, 40.647601, 40.64844, 40.649956, 40.650765, 40.652756)))","black",-0.000829462508294625,-5,-0.555555555555556
"19",47105804,"Census Tract 1058.04, Kings County, New York","BROOKLYN",9,4,6504,946,0.212212212212212,0.667000333667,0.005005005005005,0.103436770103437,39446,0.00138376383763838,0.000615006150061501,"list(list(c(-73.889994, -73.886282, -73.884806, -73.884113, -73.882413, -73.881481, -73.87729, -73.876082, -73.877848, -73.878497, -73.878814, -73.880739, -73.889587, -73.891252, -73.889994, 40.651138, 40.652756, 40.650765, 40.649956, 40.64844, 40.647601, 40.643842, 40.643293, 40.639904, 40.638575, 40.637942, 40.639613, 40.648111, 40.650026, 40.651138)))","black",-0.000768757687576876,-5,-0.555555555555556
"20",81010600,"Census Tract 106, Queens County, New York","QUEENS",5,5,1518,1676,0.0131926121372032,0.160949868073879,0.145118733509235,0.203166226912929,101709,0.00329380764163373,0.00329380764163373,"list(list(c(-73.828511, -73.825988, -73.825011, -73.824173, -73.823261, -73.821357, -73.822219, -73.823901, -73.824953, -73.825937, -73.826702, -73.82753, -73.828511, 40.689239, 40.689946, 40.687952, 40.686234, 40.684382, 40.680497, 40.680251, 40.68176, 40.683902, 40.685937, 40.687473, 40.687239, 40.689239)))","hispanic",0,0,0
"21",61010601,"Census Tract 106.01, New York County, New York","MANHATTAN",1,1,1882,2760,0.85048231511254,0,0,0.0819935691318328,243082,0.00053134962805526,0.00053134962805526,"list(list(c(-73.963871, -73.963412, -73.962925, -73.962432, -73.961966, -73.959722, -73.958934, -73.958719, -73.958478, -73.955527, -73.958614, -73.961565, -73.961773, -73.9621, -73.964325, -73.963871, 40.757008, 40.757637, 40.758309, 40.758981, 40.759619, 40.758663, 40.758335, 40.75864, 40.75854, 40.757243, 40.753848, 40.755208, 40.755284, 40.755455, 40.756381, 40.757008)))","white",0,0,0
"22",47107800,"Census Tract 1078, Kings County, New York","BROOKLYN",1,1,1670,1436,0,0.874105865522175,0,0.0729613733905579,73847,0.000598802395209581,0.000598802395209581,"list(list(c(-73.885681, -73.882511, -73.880813, -73.881826, -73.878592, -73.869485, -73.868367, -73.867181, -73.869156, -73.878117, -73.879733, -73.882213, -73.884653, -73.885681, 40.65485, 40.656213, 40.656945, 40.658308, 40.659701, 40.663546, 40.662015, 40.660452, 40.660119, 40.65626, 40.655563, 40.654498, 40.653451, 40.65485)))","black",0,0,0
"23",81010800,"Census Tract 108, Queens County, New York","QUEENS",2,5,1346,1758,0.036144578313253,0.0753012048192771,0,0.219879518072289,88636,0.00148588410104012,0.0037147102526003,"list(list(c(-73.833104, -73.830526, -73.829336, -73.828511, -73.82753, -73.829182, -73.831723, -73.832743, -73.831852, -73.833104, 40.690828, 40.691431, 40.689004, 40.689239, 40.687239, 40.686771, 40.686051, 40.688042, 40.688293, 40.690828)))","hispanic",0.00222882615156018,3,1.5
"24",61010900,"Census Tract 109, New York County, New York","MANHATTAN",4,3,85,2909,0.632352941176471,0,0,0,155417,0.0470588235294118,0.0352941176470588,"list(list(c(-73.992528, -73.992079, -73.991633, -73.988787, -73.985947, -73.987294, -73.98778, -73.990623, -73.993464, -73.992528, 40.753474, 40.754091, 40.754707, 40.753517, 40.752317, 40.750451, 40.749772, 40.750992, 40.75219, 40.753474)))","white",-0.0117647058823529,-1,-0.25
